Time,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,Tank 6,Tank 7,Tank 8
05/03/2023 00:20,27.999543,28.715924,28.774949,28.049307,27.96163,28.02731,27.989479,28.700565
05/03/2023 00:25,28.026064,28.710203,28.745379,28.018098,28.048061,28.051569,28.025441,28.736855
05/03/2023 00:30,28.027293,28.742773,28.689026,27.979808,28.051651,28.005001,27.975775,28.707941
05/03/2023 00:35,28.005263,28.673356,28.756295,28.070124,27.991609,27.985545,27.929339,28.723759
05/03/2023 00:40,27.995068,28.754148,28.741838,28.03544,27.999313,28.040767,28.076336,28.712662
05/03/2023 00:45,28.014131,28.711859,28.679076,28.001657,28.070255,28.008148,28.070009,28.712055
05/03/2023 00:50,28.031424,28.697188,28.762114,28.00687,28.001641,27.982742,28.006214,28.713891
05/03/2023 00:55,27.997346,28.737249,28.740363,28.074975,27.986413,28.053847,27.998133,28.681666
05/03/2023 01:00,28.003706,28.678011,28.68101,28.035046,28.062764,28.013213,28.046307,28.736888
05/03/2023 01:05,28.039308,28.741019,28.7372,27.996396,28.008869,27.977841,28.074336,28.688501
05/03/2023 01:10,27.994593,28.71517,28.741576,28.03403,27.99474,28.054306,28.024146,28.744281
05/03/2023 01:15,28.004624,28.690304,28.679404,28.062715,28.080794,28.017573,28.035604,28.68914
05/03/2023 01:20,28.031784,28.745854,28.752148,28.02413,28.026179,27.970186,27.979234,28.737937
05/03/2023 01:25,27.991183,28.687206,28.755361,27.975743,27.964679,28.047864,27.902277,28.688796
05/03/2023 01:30,27.997166,28.72902,28.699598,28.062518,28.067272,28.017868,27.85466,28.750099
05/03/2023 01:35,28.024785,28.720038,28.722267,28.052864,28.051536,27.972858,27.757739,28.698303
05/03/2023 01:40,28.01759,28.711547,28.754804,28.013557,27.980185,28.03385,27.7065,28.746231
05/03/2023 01:45,27.999526,28.734347,28.694041,27.998018,28.017262,28.017409,27.626871,28.705368
05/03/2023 01:50,28.014246,28.674749,28.707794,28.075779,28.072845,27.960941,27.590433,28.728856
05/03/2023 01:55,28.017754,28.747723,28.764147,28.041619,27.993724,28.045061,27.548783,28.714432
05/03/2023 02:00,28.007493,28.695697,28.714645,27.989495,27.990823,28.034555,27.52513,28.74628
05/03/2023 02:05,27.992675,28.710826,28.694484,28.054831,28.072435,27.97907,27.480661,28.715907
05/03/2023 02:10,28.015655,28.737101,28.779079,28.057584,28.019163,28.009968,27.422078,28.717907
05/03/2023 02:15,28.032161,28.67842,28.71117,28.017409,27.97389,28.02077,27.408555,28.72248
05/03/2023 02:20,28.006493,28.743854,28.683715,27.986217,28.066223,27.995134,27.362856,28.710351
05/03/2023 02:25,27.994511,28.688419,28.774145,28.070025,28.039931,27.987921,27.336401,28.73261
05/03/2023 02:30,28.020524,28.737872,28.720808,28.056798,27.957122,28.033965,27.365807,28.687042
05/03/2023 02:35,28.032997,28.736282,28.667258,28.007837,28.047913,28.014131,27.303077,28.750345
05/03/2023 02:40,28.004132,28.673978,28.780522,28.023867,28.049946,27.979119,27.321714,28.699811
05/03/2023 02:45,28.000887,28.754574,28.730954,28.05965,27.985266,28.041128,27.300242,28.748264
05/03/2023 02:50,28.030113,28.692337,28.680814,28.035997,28.010689,28.038898,27.325927,28.710121
05/03/2023 02:55,28.011722,28.72089,28.772506,27.978464,28.064715,27.975775,27.296209,28.725726
05/03/2023 03:00,28.005493,28.724693,28.745362,28.056355,28.004182,28.029768,27.331795,28.731774
05/03/2023 03:05,28.031637,28.68301,28.690435,28.039292,27.976644,28.036128,27.311584,28.695844
05/03/2023 03:10,27.987315,28.75582,28.733774,28.005149,28.075779,27.978775,27.361742,28.742182
05/03/2023 03:15,28.003329,28.715383,28.764098,28.032014,28.025884,28.023261,27.381739,28.689632
05/03/2023 03:20,28.013869,28.687698,28.706499,28.067452,27.962679,28.045029,27.432011,28.754771
05/03/2023 03:25,28.008919,28.751149,28.688337,28.03108,28.057929,27.975808,27.543079,28.707203
05/03/2023 03:30,28.01159,28.685403,28.774113,27.989446,28.047028,28.006509,27.627707,28.745412
05/03/2023 03:35,28.013312,28.737298,28.728627,28.055486,27.975677,28.044996,27.704024,28.720579
05/03/2023 03:40,28.020524,28.738658,28.680305,28.0487,28.021622,27.98384,27.755641,28.678568
05/03/2023 03:45,28.003444,28.678109,28.766999,28.002542,28.069566,27.990019,27.679061,28.748591
05/03/2023 03:50,27.998461,28.759803,28.736642,28.019983,28.010082,28.052569,27.565797,28.69491
05/03/2023 03:55,28.019901,28.705138,28.674913,28.059945,27.974661,28.016934,27.802815,28.751853
05/03/2023 04:00,28.013721,28.695041,28.753378,28.021015,28.075943,27.991216,27.823501,28.702499
05/03/2023 04:05,28.023327,28.740593,28.747133,27.989036,28.023818,28.054552,27.647098,28.741707
05/03/2023 04:10,27.99774,28.690091,28.696975,28.0616,27.971678,28.033768,27.506149,28.731348
05/03/2023 04:15,28.001182,28.752558,28.728856,28.043537,28.0666,27.974333,27.976562,28.689812
05/03/2023 04:20,28.034899,28.725906,28.759442,28.004919,28.035653,28.034145,27.896048,28.739576
05/03/2023 04:25,28.028998,28.674273,28.699319,28.004821,27.966269,28.015967,27.676471,28.691615
05/03/2023 04:30,28.006378,28.751378,28.704696,28.06655,28.047192,27.973136,27.543652,28.752771
05/03/2023 04:35,28.02749,28.713957,28.766753,28.013672,28.068321,28.028703,28.086089,28.70563
05/03/2023 04:40,28.007198,28.714465,28.710859,27.990692,27.989118,28.014098,27.793127,28.736511
05/03/2023 04:45,28.00569,28.747788,28.690402,28.044848,27.998674,27.976152,27.533916,28.710941
05/03/2023 04:50,28.031653,28.678273,28.766474,28.073697,28.068271,28.022474,27.33527,28.7322
05/03/2023 04:55,27.987823,28.75046,28.722956,28.022294,28.010082,27.998805,27.807142,28.723447
05/03/2023 05:00,28.003952,28.715219,28.686387,27.987774,27.985119,27.991724,27.690059,28.692615
05/03/2023 05:05,28.032178,28.693648,28.768376,28.061879,28.069353,28.039849,27.239676,28.741953
05/03/2023 05:10,28.015164,28.757213,28.731069,28.042554,28.022376,28.000362,26.838385,28.682928
05/03/2023 05:15,27.994314,28.693992,28.683436,28.003673,27.959958,27.985184,26.412605,28.751017
05/03/2023 05:20,28.037521,28.718825,28.763409,28.011607,28.054437,28.029818,27.15172,28.69891
05/03/2023 05:25,27.997805,28.741478,28.729627,28.074844,28.033571,28.021228,26.601252,28.758984
05/03/2023 05:30,28.014295,28.685452,28.677175,28.029932,27.974563,27.977841,26.105842,28.702876
05/03/2023 05:35,28.026818,28.745346,28.774883,27.99356,28.049503,28.010509,25.655262,28.752853
05/03/2023 05:40,27.999985,28.699795,28.75441,28.042127,28.061781,28.075238,25.963828,28.716038
05/03/2023 05:45,28.012033,28.711514,28.692222,28.063846,27.980922,28.030358,25.774328,28.713465
05/03/2023 05:50,28.035964,28.730905,28.73815,28.018065,28.011918,27.977447,25.410622,28.728561
05/03/2023 05:55,27.996101,28.683502,28.757738,27.980595,28.061895,28.017065,25.67185,28.686272
05/03/2023 06:00,27.994937,28.75282,28.697959,28.05229,27.995511,28.021163,25.861645,28.746592
05/03/2023 06:05,28.032883,28.707269,28.71176,28.04175,27.994707,27.97176,25.70378,28.692025
05/03/2023 06:10,28.009722,28.704286,28.766278,27.99833,28.063026,28.013164,25.430439,28.747215
05/03/2023 06:15,28.008165,28.740019,28.705466,28.025212,28.005542,28.060682,25.535393,28.710973
05/03/2023 06:20,28.029522,28.688599,28.690042,28.067222,27.983381,28.000903,25.639002,28.716301
05/03/2023 06:25,27.997658,28.756082,28.771539,28.031162,28.080581,28.016983,25.749414,28.736134
05/03/2023 06:30,27.991019,28.732249,28.725676,27.994134,28.028195,28.021737,25.728121,28.690386
05/03/2023 06:35,28.025392,28.680404,28.68537,28.035128,27.963433,27.997756,25.502332,28.752771
05/03/2023 06:40,28.032293,28.751083,28.760065,28.059699,28.053634,27.983873,25.851761,28.704286
05/03/2023 06:45,27.994412,28.700729,28.762868,28.026867,28.037636,28.062125,25.873742,28.745723
05/03/2023 06:50,28.020245,28.697877,28.707105,27.991855,27.97171,28.017639,25.765576,28.72943
05/03/2023 06:55,28.01359,28.749772,28.702745,28.049733,28.040865,27.99869,25.861432,28.687944
05/03/2023 07:00,28.011,28.699565,28.781292,28.03049,28.049618,28.053372,25.753938,28.749395
05/03/2023 07:05,28.019016,28.740511,28.740281,28.004559,27.989856,28.015705,25.771411,28.713727
05/03/2023 07:10,27.989184,28.738544,28.689796,28.028441,28.018114,27.98779,25.876184,28.722874
05/03/2023 07:15,28.022638,28.681158,28.739953,28.06696,28.073549,28.045815,25.715123,28.718546
05/03/2023 07:20,27.998953,28.74828,28.759098,28.029899,28.018081,28.038226,25.703305,28.699483
05/03/2023 07:25,28.018114,28.718136,28.702991,27.986217,27.985004,28.01023,25.906491,28.736134
05/03/2023 07:30,28.01659,28.680518,28.704417,28.044111,28.065977,27.983774,25.715451,28.689206
05/03/2023 07:35,28.004395,28.753542,28.772998,28.050274,28.026572,28.048372,25.821601,28.770425
05/03/2023 07:40,28.015852,28.701893,28.72348,28.007411,27.973481,28.033506,26.101121,28.72766
05/03/2023 07:45,27.990216,28.70822,28.694156,27.994429,28.075123,27.993199,25.974105,28.697156
05/03/2023 07:50,28.00687,28.740445,28.758246,28.076942,28.051306,28.054683,26.084681,28.749477
05/03/2023 07:55,28.029408,28.682567,28.751607,28.043767,27.991085,28.050602,25.899607,28.702286
05/03/2023 08:00,28.009443,28.758344,28.702155,27.994839,28.019786,28.013803,25.957944,28.74074
05/03/2023 08:05,28.003493,28.729725,28.71058,28.015688,28.056732,27.975694,25.904426,28.726545
05/03/2023 08:10,28.021425,28.682043,28.777178,28.067796,27.999346,28.024605,25.984596,28.694386
05/03/2023 08:15,28.028736,28.745657,28.729069,28.039849,28.01041,28.059092,26.199715,28.729119
05/03/2023 08:20,28.000395,28.747149,28.687321,28.002608,28.067845,28.038767,26.111858,28.688239
05/03/2023 08:25,28.023081,28.684715,28.767736,28.005395,28.02349,27.989856,25.833812,28.751247
05/03/2023 08:30,28.022622,28.749509,28.747674,28.069583,27.979726,27.995052,25.746709,28.702581
05/03/2023 08:35,27.989544,28.724119,28.701286,28.034981,28.069009,28.049077,25.883527,28.746756
05/03/2023 08:40,28.015721,28.684567,28.733757,28.006427,28.040472,28.0368,26.214041,28.721333
05/03/2023 08:45,28.035096,28.753132,28.757902,28.019196,27.983561,28.002215,26.261067,28.686764
05/03/2023 08:50,27.980709,28.72525,28.728906,28.070566,28.022196,27.994248,26.346712,28.7431
05/03/2023 08:55,28.01695,28.693927,28.683731,28.027588,28.068452,28.069501,25.951584,28.690042
05/03/2023 09:00,28.029359,28.742412,28.767786,27.996953,28.012508,28.031932,26.364529,28.749936
05/03/2023 09:05,28.009771,28.704499,28.747575,28.039357,27.977775,27.997887,30.780176,28.713235
05/03/2023 09:10,28.031916,28.714547,28.701253,28.066682,28.078991,28.003575,29.824466,28.724103
05/03/2023 09:15,27.983938,28.756803,28.725381,28.035866,28.053011,28.085728,29.379852,28.735396
05/03/2023 09:20,28.007017,28.698631,28.781702,28.002477,28.00033,28.058617,28.942845,28.694402
05/03/2023 09:25,28.013295,28.717186,28.736019,28.048831,28.011869,28.025933,23.710552,28.746182
05/03/2023 09:30,27.995937,28.755476,28.686846,28.065911,28.064026,27.985627,28.685026,28.709679
05/03/2023 09:35,27.996805,28.757459,28.772162,28.022441,28.008902,28.041406,28.70799,28.759557
05/03/2023 09:40,28.023982,28.881312,28.92229,27.995593,27.983578,28.047848,28.628804,28.92765
05/03/2023 09:45,28.023966,29.019097,29.062993,28.050143,28.075057,28.025998,28.538718,29.067172
05/03/2023 09:50,27.997838,29.138606,29.177732,28.063485,28.037685,27.983791,28.455778,29.167192
05/03/2023 09:55,28.033358,29.132492,29.146424,28.026638,27.978382,28.052978,28.391049,29.109445
